Quadrant,Quadrant_Number,Ring,Ring_Number,Active,Name,Link,Moved,Moved_Number,Notes
Data Management,3,Adopt,0,TRUE,AWS EMR,../data_processing/aws_emr.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,Spark,../data_processing/spark.html,Down,-1,Needs review
Data Management,3,Hold,3,TRUE,Airflow,../data_processing/airflow.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,AWS Data Pipeline,../data_processing/aws_data_pipeline.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,Flink,../data_processing/flink.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,Google BigQuery,../data_processing/google_bigquery.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,Presto,../data_processing/presto.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,Hadoop,../data_processing/hadoop.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,YARN,../data_processing/yarn.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,Esper,../data_processing/esper.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,AWS S3,../datastores/aws_s3.html,Static,0,Needs review
Data Management,3,Assess,2,TRUE,Cassandra,../datastores/cassandra.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,Elasticsearch,../datastores/elasticsearch.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,etcd,../datastores/etcd.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,PostgreSQL,../datastores/postgresql.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,Redis,../datastores/redis.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,Solr,../datastores/solr.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,AWS DynamoDB,../datastores/aws_dynamodb.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,HDFS,../datastores/hdfs.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,Consul,../datastores/consul.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,Google Bigtable,../datastores/google_bigtable.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,RocksDB,../datastores/rocksdb.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,Aerospike,../datastores/aerospike.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,CouchBase,../datastores/couchbase.html,Static,0,Needs review
Data Management,3,Hold,3,TRUE,HBase,../datastores/hbase.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,Memcached,../datastores/memcached.html,Static,0,Needs review
Data Management,3,Trial,1,TRUE,MongoDB,../datastores/mongodb.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,MySQL,../datastores/mysql.html,Static,0,Needs review
Data Management,3,Adopt,0,TRUE,Oracle DB,../datastores/oracle_db.html,Static,0,Needs review
Data Management,3,Trial,1,TRUE,ZooKeeper,../datastores/zookeeper.html,Static,0,Needs review
Frameworks,2,Trial,1,TRUE,Akka (Scala),../frameworks/akka_scala.html,Static,0,Needs review
Frameworks,2,Adopt,0,TRUE,Node.js,../frameworks/nodejs.html,Static,0,Needs review
Frameworks,2,Hold,3,TRUE,Play (Scala),../frameworks/play_scala.html,Static,0,Needs review
Frameworks,2,Adopt,0,TRUE,ReactJS,../frameworks/reactjs.html,Static,0,Needs review
Frameworks,2,Hold,3,TRUE,RxJava (Android),../frameworks/rxjava_android.html,Static,0,Needs review
Frameworks,2,Hold,3,TRUE,scikit-learn,../frameworks/scikit_learn.html,Static,0,Needs review
Frameworks,2,Adopt,0,TRUE,Spring,../frameworks/spring.html,Static,0,Needs review
Frameworks,2,Trial,1,TRUE,Akka-Http,../frameworks/akka_http.html,Static,0,Needs review
Frameworks,2,Hold,3,TRUE,Angular,../frameworks/angular.html,Static,0,Needs review
Frameworks,2,Trial,1,TRUE,AspectJ,../frameworks/aspectj.html,Static,0,Needs review
Frameworks,2,Hold,3,TRUE,Camel,../frameworks/camel.html,Static,0,Needs review
Frameworks,2,Hold,3,TRUE,Camunda,../frameworks/camunda.html,Static,0,Needs review
Frameworks,2,Hold,3,TRUE,OpenNLP,../frameworks/opennlp.html,Static,0,Needs review
Frameworks,2,Assess,2,TRUE,TensorFlow,../frameworks/tensorflow.html,Static,0,Needs review
Frameworks,2,Adopt,0,TRUE,Thymeleaf,../frameworks/thymeleaf.html,Static,0,Needs review
Frameworks,2,Assess,2,TRUE,Aurelia,../frameworks/aurelia.html,Static,0,Needs review
