scikit-learn	Techniques; Frameworks & Tools	lib for machine learning	1.5	2	0.5		1	1	0	0								ADOPT																	TRIAL		
scilab	Techniques; Frameworks & Tools	data science	0.0	2	0.5		0	1	1	0								TRIAL																	ASSESS		
OpenNLP	Techniques; Frameworks & Tools	Natural Language Processing	1.3	3	0.7		1	2	0	0								ADOPT						TRIAL											TRIAL		
Takipi	Platforms & Infrastructure	exception monitoring	-1.5	2	0.5	TRUE	0	0	1	1									ASSESS											HOLD							
Julia	Languages		-1.3	4	0.8	TRUE	0	0	3	1								ASSESS												ASSESS				HOLD	ASSESS		
saltstack	Platforms & Infrastructure	infrastructure management	-1.7	3	0.7	TRUE	0	0	1	2										HOLD										HOLD				ASSESS			
Apache Artemis	Data Mgt	message queues	-1.5	4	0.5		0	0	2	2									HOLD							ASSESS				ASSESS					HOLD		
Flux	Techniques; Frameworks & Tools	JS methodology for usage with React	-0.7	3	0.3		0	1	1	1						ASSESS									TRIAL	HOLD											
Hadoop/YARN	Data Mgt	cluster resource manager	-0.4	5	0.4		0	2	2	1		ASSESS	ASSESS									HOLD								TRIAL					TRIAL		
Elixir	Languages	impl. language	-1.2	5	0.8		0	0	4	1					ASSESS	ASSESS		HOLD		ASSESS										ASSESS							
Elm	Languages		-0.7	6	0.8		0	1	5	0	ASSESS					ASSESS				ASSESS						TRIAL	ASSESS								ASSESS		
Samza	Data Mgt	event processing	-0.5	6	0.5		0	2	3	1								TRIAL		TRIAL		ASSESS					ASSESS				ASSESS				HOLD		
Esper CEP	Data Mgt	Complex Event Processor	-1.6	5	0.6		0	0	2	3								ASSESS		HOLD		HOLD					HOLD			ASSESS							
Aerospike	Data Mgt	NoSql DB/caching	-1.5	6	0.5		0	0	3	3									ASSESS	HOLD		HOLD		ASSESS						HOLD				ASSESS			
Flink	Data Mgt	event processing	0.1	7	0.6		0	4	3	0								TRIAL		ASSESS		TRIAL				ASSESS	TRIAL				ASSESS				TRIAL		
Google BigQuery	Data Mgt	NoSql DB	0.3	7	0.4		1	3	3	0	TRIAL											ASSESS					ADOPT		ASSESS	ASSESS	TRIAL				TRIAL		
Datomic	Data Mgt	NoSql DB	-1.0	7	0.6		0	1	4	2				ASSESS						HOLD		ASSESS		ASSESS						ASSESS	TRIAL				HOLD		
Grizzly	Platforms & Infrastructure	webserver	-1.1	7	0.4		0	1	3	3								TRIAL				HOLD				HOLD			ASSESS	ASSESS			ASSESS		HOLD		
AWS Simple Workflow Service	Platforms & Infrastructure	workflow engine	-0.7	7	0.4		0	2	3	2								TRIAL		HOLD		HOLD		ASSESS						ASSESS	ASSESS				TRIAL		
Sbt	Techniques; Frameworks & Tools	Build Tool	1.8	8	0.8		6	2	0	0	ADOPT				ADOPT										ADOPT		ADOPT		TRIAL	ADOPT			TRIAL		ADOPT		
AWS EMR	Data Mgt	data processing frw	0.3	8	0.5		1	4	2	1							ASSESS	TRIAL		HOLD							TRIAL			ASSESS	TRIAL			ADOPT	TRIAL		
Nginx+	Platforms & Infrastructure	webserver / loadbalancer	-0.3	8	0.5		2	2	0	4								TRIAL		HOLD		HOLD			ADOPT		ADOPT			HOLD				HOLD	TRIAL		
Mesos	Platforms & Infrastructure	resource manager	-0.4	8	0.5		0	4	1	3			ASSESS	TRIAL						HOLD		HOLD					TRIAL			HOLD				TRIAL	TRIAL		
Hadoop/MR	Data Mgt	data processing frw	-1.0	9	0.6		1	0	5	3		ASSESS	ASSESS					ASSESS				HOLD		ASSESS			HOLD			ADOPT	ASSESS				HOLD		
Vert.x	Techniques; Frameworks & Tools	async communication framework	-0.8	8	0.9		0	1	7	0	ASSESS		ASSESS						ASSESS	ASSESS						TRIAL	ASSESS							ASSESS	ASSESS		
Hadoop/HBase	Data Mgt	NoSql DB	-1.2	9	0.8		0	0	7	2		ASSESS	ASSESS					ASSESS				HOLD		ASSESS			ASSESS			ASSESS	ASSESS				HOLD		
BackboneJS	Techniques; Frameworks & Tools	JS framework	-1.4	8	0.6		0	1	2	5		ASSESS			HOLD	HOLD		HOLD		HOLD			HOLD					TRIAL					ASSESS				
Google BigTable	Data Mgt	NoSql DB	-0.8	9	0.9		0	1	8	0	ASSESS						ASSESS	TRIAL				ASSESS		ASSESS			ASSESS		ASSESS	ASSESS					ASSESS		
AWS S3	Data Mgt	file object store 	2.0	9	1.0		9	0	0	0	ADOPT		ADOPT			ADOPT			ADOPT	ADOPT		ADOPT					ADOPT							ADOPT	ADOPT		
Rocket (rkt)	Platforms & Infrastructure	Container/Deployment	-1.0	8	1.0		0	0	8	0	ASSESS							ASSESS	ASSESS	ASSESS		ASSESS							ASSESS	ASSESS	ASSESS						
AngularJS 2.x	Techniques; Frameworks & Tools	JS framework	-1.0	9	1.0		0	0	9	0	ASSESS					ASSESS			ASSESS	ASSESS		ASSESS				ASSESS	ASSESS							ASSESS	ASSESS		
Activiti	Techniques; Frameworks & Tools	workflow engine	-1.8	8	0.8		0	0	2	6			HOLD				HOLD	ASSESS			ASSESS			HOLD			HOLD			HOLD		HOLD					
