Akka (Scala)	Techniques; Frameworks & Tools		1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES	YES	YES		YES																	NO
AWS EMR	Data Mgt	data processing frw	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES		YES																			
AWS S3	Data Mgt	file object store 	2.0	ADOPT		TRUE	see 2nd Release																										
AWS SNS	Data Mgt	messaging service	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES	YES	YES			YES																
AWS SQS	Data Mgt	message queues	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES	YES	YES			YES																YES
Cassandra	Data Mgt	NoSql DB	2.0	ADOPT			see 2nd Release																										
Docker	Platforms & Infrastructure	Container/Deployment	2.0	ADOPT			see 2nd Release																										
ElasticSearch	Data Mgt	NoSql Search DB	1.8	ADOPT			2016-08-29	TRIAL --> ADOPT	YES			YES			YES	YES	ABSTAIN																
etcd	Platforms & Infrastructure	distributed key/value store	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES			YES		YES																
Go	Languages	impl. language	1.8	ADOPT			2016-06-06	TRIAL --> ADOPT	YES				ABSTAIN		ABSTAIN	ABSTAIN	YES	YES	YES									ABSTAIN					
Gradle	Techniques; Frameworks & Tools	Build Tool	1.8	ADOPT		TRUE	2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES	YES	YES																			
Guava	Techniques; Frameworks & Tools	standard lib	2.0	ADOPT		TRUE	see 2nd Release																										
HAProxy	Platforms & Infrastructure	loadbalancer	1.7	ADOPT			see 2nd Release																										
Hystrix	Platforms & Infrastructure	lib for fault tolerance	1.8	ADOPT			see 2nd Release																										
Java	Languages	impl. language	2.0	ADOPT			see 2nd Release																										
Javascript	Languages	impl. language	2.0	ADOPT			see 2nd Release																										
Jetty	Platforms & Infrastructure	webserver	2.0	ADOPT			see 2nd Release																										
jQuery	Techniques; Frameworks & Tools	JS framework	1.8	ADOPT		TRUE	2017-02-13	ASSESS --> ADOPT	YES	YES	YES	YES	YES	YES																			
Kafka	Data Mgt	message queues	1.5	ADOPT			see 2nd Release																										
log4j2	Platforms & Infrastructure	Logging-Framework	1.9	ADOPT		TRUE	see 2nd Release																										
Maven	Techniques; Frameworks & Tools	Build Tool	2.0	ADOPT		TRUE	see 2nd Release																										
Nakadi	Data Mgt	event bus	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES	YES	YES	YES	YES	YES																
Nginx	Platforms & Infrastructure	webserver / loadbalancer	1.9	ADOPT			see 2nd Release																										
Node.js 	Techniques; Frameworks & Tools	server-side JS	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES	YES		YES	YES																	YES
OpenAPI (Swagger)	Techniques; Frameworks & Tools	rest api frw	1.8	ADOPT			see 2nd Release																										
Play (Scala)	Techniques; Frameworks & Tools		1.5	ADOPT			see 2nd Release																										
PostgreSQL	Data Mgt	RDBMS	2.0	ADOPT			see 2nd Release																										
Python	Languages	impl. language	2.0	ADOPT			see 2nd Release																										
ReactJS	Techniques; Frameworks & Tools	JS framework for SPA	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES	YES	YES		YES	YES																
Redis	Data Mgt	NoSql DB/caching	2.0	ADOPT			see 2nd Release																										
Sbt	Techniques; Frameworks & Tools	Build Tool	1.8	ADOPT		TRUE	see 2nd Release																										
Scala	Languages	impl. language	1.8	ADOPT			see 2nd Release																										
scikit-learn	Techniques; Frameworks & Tools	lib for machine learning	1.5	ADOPT			see 2nd Release																										
slf4j	Platforms & Infrastructure	Logging-Facade, multiple implementations (Log4J,Logback)	2.0	ADOPT		TRUE	see 2nd Release																										
Solr	Data Mgt	NoSql Search DB	2.0	ADOPT			see 2nd Release																										
Spark	Data Mgt	event processing	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES		YES																			
Spring	Techniques; Frameworks & Tools	impl. frw mixed	1.8	ADOPT			see 2nd Release																										
STUPS	Platforms & Infrastructure	PaaS tool set	1.9	ADOPT			see 2nd Release																										
Swift	Languages	impl. language	1.8	ADOPT			see 2nd Release																										
Tomcat	Platforms & Infrastructure	webserver	1.8	ADOPT			see 2nd Release																										
ZMON	Platforms & Infrastructure	Zalando Monitoring System	2.0	ADOPT			see 2nd Release																										
Aurelia	Techniques; Frameworks & Tools	JS framework	-1.0	ASSESS			2016-08-29	NIL --> ASSESS	YES			YES			YES	YES	YES																
AWS Kinesis	Data Mgt	event processing	-0.3	ASSESS			see 2nd Release																										
AWS Lambda	Platforms & Infrastructure	computing service	-0.8	ASSESS			see 2nd Release																										
Consul	Platforms & Infrastructure	distributed computing	-0.5	ASSESS		TRUE	see 2nd Release																										
Elm	Languages		-0.7	ASSESS			see 2nd Release																										
