AWS S3	Data Mgt	file object store 	2.0	ADOPT			see 2nd Release																							
Cassandra	Data Mgt	NoSql DB	2.0	ADOPT			see 2nd Release																							
PostgreSQL	Data Mgt	RDBMS	2.0	ADOPT			see 2nd Release																							
Redis	Data Mgt	NoSql DB/caching	2.0	ADOPT			see 2nd Release																							
Solr	Data Mgt	NoSql Search DB	2.0	ADOPT			see 2nd Release																							
Java	Languages	impl. language	2.0	ADOPT			see 2nd Release																							
Javascript	Languages	impl. language	2.0	ADOPT			see 2nd Release																							
Python	Languages	impl. language	2.0	ADOPT			see 2nd Release																							
Docker	Platforms & Infrastructure	Container/Deployment	2.0	ADOPT			see 2nd Release																							
Jetty	Platforms & Infrastructure	webserver	2.0	ADOPT			see 2nd Release																							
ZMON	Platforms & Infrastructure	Zalando Monitoring System	2.0	ADOPT			see 2nd Release																							
STUPS	Platforms & Infrastructure	PaaS tool set	1.9	ADOPT			see 2nd Release																							
Nginx	Platforms & Infrastructure	webserver / loadbalancer	1.9	ADOPT			see 2nd Release																							
Hystrix	Platforms & Infrastructure	lib for fault tolerance	1.8	ADOPT			see 2nd Release																							
Spring	Techniques; Frameworks & Tools	impl. frw mixed	1.8	ADOPT			see 2nd Release																							
Scala	Languages	impl. language	1.8	ADOPT			see 2nd Release																							
AWS EMR	Data Mgt	data processing frw	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES						YES						YES							
AWS SNS	Data Mgt	messaging service	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES					YES	YES		YES				YES							
AWS SQS	Data Mgt	message queues	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES					YES	YES		YES				YES							
ElasticSearch	Data Mgt	NoSql Search DB	1.8	ADOPT			2016-08-29	TRIAL --> ADOPT			YES	YES						YES	ABSTAIN				YES							
Nakadi	Data Mgt	event bus	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES				YES	YES	YES	YES				YES							
Spark	Data Mgt	event processing	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES						YES						YES							
Go	Languages	impl. language	1.8	ADOPT			2016-06-06	TRIAL --> ADOPT				ABSTAIN				ABSTAIN		ABSTAIN	YES	YES	YES		YES							ABSTAIN
Swift	Languages	impl. language	1.8	ADOPT			see 2nd Release																							
etcd	Platforms & Infrastructure	distributed key/value store	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES							YES				YES							
Tomcat	Platforms & Infrastructure	webserver	1.8	ADOPT			see 2nd Release																							
Akka (Scala)	Techniques; Frameworks & Tools		1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES					YES	YES	YES					YES							
Node.js 	Techniques; Frameworks & Tools	server-side JS	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES	YES				YES		YES					YES							
ReactJS	Techniques; Frameworks & Tools	JS framework for SPA	1.8	ADOPT			2017-02-13	TRIAL --> ADOPT	YES	YES	YES					YES	YES	YES	YES				YES							
RxJava (Android)	Techniques; Frameworks & Tools	reactive framework	1.8	ADOPT			2016-11-21	NIL --> ADOPT				YES				YES			YES											
OpenAPI (Swagger)	Techniques; Frameworks & Tools	rest api frw	1.8	ADOPT			see 2nd Release																							
HAProxy	Platforms & Infrastructure	loadbalancer	1.7	ADOPT			see 2nd Release																							
Kafka	Data Mgt	message queues	1.5	ADOPT			see 2nd Release																							
Play (Scala)	Techniques; Frameworks & Tools		1.5	ADOPT			see 2nd Release																							
scikit-learn	Techniques; Frameworks & Tools	lib for machine learning	1.5	ADOPT			see 2nd Release																							
Typescript	Languages	impl. language	1.4	TRIAL			2016-09-26	ASSESS --> TRIAL			YES	YES				YES			ABSTAIN			YES								
Kubernetes	Platforms & Infrastructure	cluster resource manager	1.4	TRIAL			2017-03-13	ASSESS --> TRIAL	YES	YES	YES	YES	YES		YES	YES												YES	YES	
Angular	Techniques; Frameworks & Tools	JS framework	1.4	TRIAL			2016-10-24	ASSESS --> TRIAL			YES						YES		YES						YES	ABSTAIN				
OpenNLP	Techniques; Frameworks & Tools	Natural Language Processing	1.3	TRIAL			see 2nd Release																							
Kairos	Data Mgt	TS DB	1.3	TRIAL			see 2nd Release																							
Clojure	Languages	impl. language	1.3	TRIAL			see 2nd Release																							
Thymeleaf	Techniques; Frameworks & Tools	Templating Framework	1.1	TRIAL			see 2nd Release																							
